trans_id,fname,lname,phone,cc_num,trans_date,price,
1,Thomas,Rutledge,770-579-1111,4640182117414110,1/1/2023,$12
2,Richard,DiGeronimo,770-579-2222,4640182117414220,1/5/2023,$23
3,Michael,Newhouse,770-579-3333,4640182117414330,1/12/2023,$34
4,Jessica,Fischer,770-579-4444,4640182117414440,1/16/2023,$45
5,John,Techman,770-579-5555,4640182117414550,1/22/2023,$56
6,Sharon,Peters,770-579-6666,4640182117414660,1/23/2023,$65
7,Thomas,Rutledge,770-579-1111,4640182117414110,2/2/2023,$67
8,Richard,DiGeronimo,770-579-2222,4640182117414220,2/5/2023,$78
9,Michael,Newhouse,770-579-3333,4640182117414330,2/13/2023,$87
10,Jessica,Fischer,770-579-4444,4640182117414440,2/14/2023,$92
11,John,Techman,770-579-5555,4640182117414550,2/19/2023,$98
12,Sharon,Peters,770-579-6666,4640182117414660,2/23/2023,$99
13,Thomas,Rutledge,770-579-1111,4640182117414110,3/1/2023,$100
14,Richard,DiGeronimo,770-579-2222,4640182117414220,3/2/2023,$102
15,Michael,Newhouse,770-579-3333,4640182117414330,3/3/2023,$112
16,Jessica,Fischer,770-579-4444,4640182117414440,3/4/2023,$123
17,John,Techman,770-579-5555,4640182117414550,3/5/2023,$134
18,Sharon,Peters,770-579-6666,4640182117414660,3/6/2023,$145
